Exp,s,block,cond,mental,physical,temporal,performance,effort,frustration,mean_v.C,mean_v.N,mean_v.Cerr,mean_v.Nerr,mean_v.P,diff.C,diff.N,sum.C,sum.N,sum
E1,32,Control,B,2,1,5,6,5,1,1.1157162,1.6086172,0.75231642,0.98885083,,0.36339978,0.61976637,1.86803262,2.59746803,4.46550065
E1,32,Control,C,1,1,1,5,2,1,0.9137965,1.8069583,-0.57489177,-0.21805254,,1.48868827,2.02501084,0.33890473,1.58890576,1.92781049
E1,32,Control,D,2,1,6,8,5,1,1.4616487,2.1148527,0.789931042,0.5725425,,0.671717658,1.5423102,2.251579742,2.6873952,4.938974942
E1,32,PM,A,2,1,2,6,3,1,1.1261642,1.70529054,0.93584108,1.11320971,3.2299389,0.19032312,0.59208083,2.06200528,2.81850025,8.11044443
E1,32,PM,B,4,1,14,8,9,1,1.3483595,1.8857739,1.1257743,0.99548688,3.3784267,0.2225852,0.89028702,2.4741338,2.88126078,8.73382128
E1,32,PM,C,4,1,1,5,4,1,0.9607839,1.809256,-0.06978483,0.31972708,1.08978265,1.03056873,1.48952892,0.89099907,2.12898308,4.1097648
E1,32,PM,D,3,1,13,11,9,1,1.5840261,2.2698702,0.765292,0.6200351,2.1271813,0.8187341,1.6498351,2.3493181,2.8899053,7.3664047
E1,33,Control,A,14,10,6,9,10,14,1.4884934,1.6921794,0.97774957,0.66270879,,0.51074383,1.02947061,2.46624297,2.35488819,4.82113116
E1,33,Control,B,10,12,11,11,12,13,1.2373723,1.5645077,1.4690013,1.31002411,,-0.231629,0.25448359,2.7063736,2.87453181,5.58090541
E1,33,Control,C,10,12,11,11,13,14,1.6520185,1.4528692,1.05403282,1.61070721,,0.59798568,-0.15783801,2.70605132,3.06357641,5.76962773
E1,33,Control,D,9,9,14,13,8,9,2.3228141,2.0072714,1.032761075,2.1866938,,1.290053025,-0.1794224,3.355575175,4.1939652,7.549540375
E1,33,PM,A,13,12,10,12,12,13,1.7930358,1.28618122,0.95319817,1.59996513,1.7018657,0.83983763,-0.31378391,2.74623397,2.88614635,7.33424602
E1,33,PM,B,16,14,15,16,18,16,1.3866918,1.2456845,0.8560824,1.18340457,-1.5685621,0.5306094,0.06227993,2.2427742,2.42908907,3.10330117
E1,33,PM,C,12,14,12,11,10,10,1.5205174,1.281063,0.87864696,1.31135706,1.11023197,0.64187044,-0.03029406,2.39916436,2.59242006,6.10181639
E1,33,PM,D,13,8,14,8,14,10,1.7140195,1.6007327,1.5235128,1.3790701,1.7120716,0.1905067,0.2216626,3.2375323,2.9798028,7.9294067
E1,34,Control,A,7,1,10,2,10,7,1.2214315,1.4053369,0.32173331,-1.84804225,,0.89969819,3.25337915,1.54316481,-0.44270535,1.10045946
